Lane,Sample,Index
1,BRO_RA1_exp023_d005,SI-TT-D8
1,BRO_RA1_exp023_d011,SI-TT-D9
1,BRO_RA1_exp023_d014,SI-TT-D10
1,BRO_RA1_exp023_d020,SI-TT-D11
1,BRO_RA1_exp023_d030,SI-TT-D12
1,BRO_RA1_exp023_d060,SI-TT-E1
1,BRO_RA1_exp023_d090,SI-TT-E2
1,BRO_RA1_exp023_d120,SI-TT-E3
