covariate	level	color
sample	T1-2-H9-2	dodgerblue3
sample	T1-2-H9-1	coral1
sample	EDisUntrNoTra_1	purple
sample	EDisUntrNoTra_2	maroon
sample	IDisUntrNoTra_1	indianred
sample	A0254	tomato1
sample	A0257	khaki
sample	A0256	deeppink1
sample	A0260	darkorange
sample	A0258	darkorchid1
sample	A0264	slateblue2
sample	A0251	thistle
source	cell	plum1
source	nuclei	slateblue
